Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,CLASSIFICATION OF PAPERS ON FERROFLUIDS,,,
,CLASS,MAJOR CLASS,SUB CLASS,
,11,Material,Chemistry,
,12,Material,Formulation,
,13,Material,Properties,
,14,Material,Evaluation / Characterization,
,15,Material,"Manipulation, Droplets, other",
,16,Material,Handling of ferrofluids,
,,,,
,21,Computation,"Finite Element Analysis, FEA",
,22,Computation,"Computational Fluid Dynamics, CFD",
,23,Computation,Computation using MATLAB ,
,24,Modelling,"ODE, Boundary value problem, Two-phase, Lifting force analysis, ",
,24,Modelling,"Magneto-optical, Dipole, Strain energy, Susceptibility etc.",continuation of the above row
,25,Computation,Analysis of flow properties,
,26,Computation,Analysis of heat transfer properties,
,27,Computation,Other computer modelling,
,28,Computation ,Stability of the material and other,
,29,Computation,"Magnetic droplets, Spin of droplet",
,,,,
,30,Application,Other applications not classified below,
,31,Experimentation,Other than just evaluation of the ferrofluid itself,
,32,Application,Linear motors / Encoders,
,33,Instrumentation,Instruments using ferrofluids and/or to evaluate ferrofluids,
,38,Application,Using principles of magnetic Induction,
,39,Application,Medical (Robotic Surgery),
,40,Application,"Medical (Hyperthermia, Cancer treatment, Drug delivery, etc.)",
,41,Application,Medical (Pharmaceutical),
,42,Application,Biomedical ,
,43,Application,Robotics - general,
,44,Application,"Geology, Oil-field recovery",
,45,Application,Application and/or implementation of Flow,
,46,Application,Application and/or implementation of Heat transfer,
,47,Application,"Bearing, Seal, Lubricant",
,48,Application,"Application of Levitation, Spin of droplets",
,49,Application,"Digital Micro Fluids, Damping, Physics, Environmental Engineering",
,50,Review - Survey,,
,51,Book / Book chapter,,
